"REF_DATE","GEO","DGUID","Sector","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-08","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","11.18","","","","2"
"1990-09","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","11.39","","","","2"
"1990-10","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","11.82","","","","2"
"1990-11","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","12.51","","","","2"
"1990-12","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","13.20","","","","2"
"1991-01","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","13.67","","","","2"
"1991-02","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","14.01","","","","2"
"1991-03","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","13.53","","","","2"
"1991-04","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","13.56","","","","2"
"1991-05","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","12.42","","","","2"
"1991-06","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","12.01","","","","2"
"1991-07","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","11.59","","","","2"
"1991-08","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","11.74","","","","2"
"1991-09","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","11.72","","","","2"
"1991-10","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","11.95","","","","2"
"1991-11","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","12.86","","","","2"
"1991-12","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","13.64","","","","2"
"1992-01","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","14.24","","","","2"
"1992-02","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","14.39","","","","2"
"1992-03","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","14.42","","","","2"
"1992-04","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","13.82","","","","2"
"1992-05","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","12.96","","","","2"
"1992-06","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","12.43","","","","2"
"1992-07","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","11.96","","","","2"
"1992-08","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","11.64","","","","2"
"1992-09","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","11.72","","","","2"
"1992-10","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","12.30","","","","2"
"1992-11","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","12.64","","","","2"
"1992-12","Canada","2016A000011124","Total","Sales unit price","Cents per cubic metre","56","units","0","v47807","1.1.4","13.49","","","","2"
