"REF_DATE","GEO","DGUID","Primary heating system and type of energy","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Canada","2016A000011124","All primary heating systems","Percent","239","units","0","v107791203","1.40","95","","","","0"
"2015","Canada","2016A000011124","All primary heating systems","Percent","239","units","0","v107791203","1.40","95","","","","0"
"2017","Canada","2016A000011124","All primary heating systems","Percent","239","units","0","v107791203","1.40","95","","","","0"
"2019","Canada","2016A000011124","All primary heating systems","Percent","239","units","0","v107791203","1.40","95","","","","0"
"2021","Canada","2016A000011124","All primary heating systems","Percent","239","units","0","v107791203","1.40","93","","","","0"
"2013","Canada","2016A000011124","Electricity","Percent","239","units","0","v107791204","1.41","39","","","","0"
"2015","Canada","2016A000011124","Electricity","Percent","239","units","0","v107791204","1.41","41","","","","0"
"2017","Canada","2016A000011124","Electricity","Percent","239","units","0","v107791204","1.41","37","","","","0"
"2019","Canada","2016A000011124","Electricity","Percent","239","units","0","v107791204","1.41","40","","","","0"
"2021","Canada","2016A000011124","Electricity","Percent","239","units","0","v107791204","1.41","43","","","","0"
"2013","Canada","2016A000011124","Natural gas","Percent","239","units","0","v107791205","1.42","44","","","","0"
"2015","Canada","2016A000011124","Natural gas","Percent","239","units","0","v107791205","1.42","45","","","","0"
"2017","Canada","2016A000011124","Natural gas","Percent","239","units","0","v107791205","1.42","46","","","","0"
"2019","Canada","2016A000011124","Natural gas","Percent","239","units","0","v107791205","1.42","46","","","","0"
"2021","Canada","2016A000011124","Natural gas","Percent","239","units","0","v107791205","1.42","44","","","","0"
"2013","Canada","2016A000011124","Oil","Percent","239","units","0","v107791206","1.43","6","","","","0"
"2015","Canada","2016A000011124","Oil","Percent","239","units","0","v107791206","1.43","4","","","","0"
"2017","Canada","2016A000011124","Oil","Percent","239","units","0","v107791206","1.43","4","","","","0"
"2019","Canada","2016A000011124","Oil","Percent","239","units","0","v107791206","1.43","4","","","","0"
"2021","Canada","2016A000011124","Oil","Percent","239","units","0","v107791206","1.43","3","","","","0"
"2013","Canada","2016A000011124","Biomass","Percent","239","units","0","v107791207","1.44","4","","","","0"
"2015","Canada","2016A000011124","Biomass","Percent","239","units","0","v107791207","1.44","3","","","","0"
"2017","Canada","2016A000011124","Biomass","Percent","239","units","0","v107791207","1.44","4","","","","0"
"2019","Canada","2016A000011124","Biomass","Percent","239","units","0","v107791207","1.44","3","","","","0"
"2021","Canada","2016A000011124","Biomass","Percent","239","units","0","v107791207","1.44","2","","","","0"
"2013","Canada","2016A000011124","Propane","Percent","239","units","0","v107791210","1.47","1","","","","0"
"2015","Canada","2016A000011124","Propane","Percent","239","units","0","v107791210","1.47","1","","","","0"
"2017","Canada","2016A000011124","Propane","Percent","239","units","0","v107791210","1.47","2","","","","0"
"2019","Canada","2016A000011124","Propane","Percent","239","units","0","v107791210","1.47","2","","","","0"
"2021","Canada","2016A000011124","Propane","Percent","239","units","0","v107791210","1.47","2","","","","0"
"2013","Canada","2016A000011124","Other fuel","Percent","239","units","0","v107791211","1.48","1","E","","","0"
"2015","Canada","2016A000011124","Other fuel","Percent","239","units","0","v107791211","1.48","1","E","","","0"
"2017","Canada","2016A000011124","Other fuel","Percent","239","units","0","v107791211","1.48","0","E","","","0"
"2019","Canada","2016A000011124","Other fuel","Percent","239","units","0","v107791211","1.48","2","","","","0"
"2021","Canada","2016A000011124","Other fuel","Percent","239","units","0","v107791211","1.48","2","","","","0"
"2013","Canada","2016A000011124","Forced air furnace","Percent","239","units","0","v95637312","1.1","53","","","","0"
"2015","Canada","2016A000011124","Forced air furnace","Percent","239","units","0","v95637312","1.1","53","","","","0"
"2017","Canada","2016A000011124","Forced air furnace","Percent","239","units","0","v95637312","1.1","55","","","","0"
