"REF_DATE","GEO","DGUID","Household type including census family structure (11)","Household size (7)","Number of earners in household (6)","Ages of household members (18)","Household total income groups (22)","Year (2)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2020","","0","units","0","","1.1.1.1.1.1.1","14978940","","","","0"
"2021","Canada","2021A000011124","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Total - Total income of households","2015","","0","units","0","","1.1.1.1.1.1.2","14072075","","","","0"
"2021","Canada","2021A000011124","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Under $5,000","2020","","0","units","0","","1.1.1.1.1.2.1","165180","","","","0"
"2021","Canada","2021A000011124","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","Under $5,000","2015","","0","units","0","","1.1.1.1.1.2.2","220205","","","","0"
"2021","Canada","2021A000011124","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","$5,000 to $9,999","2020","","0","units","0","","1.1.1.1.1.3.1","91750","","","","0"
"2021","Canada","2021A000011124","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","$5,000 to $9,999","2015","","0","units","0","","1.1.1.1.1.3.2","166105","","","","0"
"2021","Canada","2021A000011124","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","$10,000 to $14,999","2020","","0","units","0","","1.1.1.1.1.4.1","178475","","","","0"
"2021","Canada","2021A000011124","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","$10,000 to $14,999","2015","","0","units","0","","1.1.1.1.1.4.2","337870","","","","0"
"2021","Canada","2021A000011124","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","$15,000 to $19,999","2020","","0","units","0","","1.1.1.1.1.5.1","274145","","","","0"
"2021","Canada","2021A000011124","Total – Household type including census family structure","Total - Households by household size","Total - Number of earners in household","Total - Households by number of persons aged 0 to 5 years","$15,000 to $19,999","2015","","0","units","0","","1.1.1.1.1.5.2","419505","","","","0"
