time,Quebec,Newfoundland and Labrador,British Columbia,New Brunswick,Nova Scotia,Saskatchewan,Alberta,Prince Edward Island,Manitoba,Ontario,Canada
2013-01-01 00:00:00,-2.08,0.91,3.05,-10.67,-5.01,-12.48,-1.2,-5.96,-23.21,0.4,-5.625
2013-01-01 01:00:00,-1.22,0.81,3.06,-11.1,-5.28,-12.85,-1.9,-6.41,-24.27,0.39,-5.877
2013-01-01 02:00:00,-0.82,0.76,3.92,-11.52,-5.31,-13.48,-2.4,-6.73,-24.95,0.29,-6.024
2013-01-01 03:00:00,-0.55,0.69,3.91,-11.91,-5.49,-13.76,-3.35,-6.96,-25.41,0.01,-6.282
2013-01-01 04:00:00,-0.6,0.46,3.92,-12.26,-5.48,-14.48,-4.69,-7.22,-25.97,-0.6,-6.691999999999998
2013-01-01 05:00:00,-1.08,0.34,3.4,-12.48,-5.32,-15.13,-5.76,-7.4,-26.48,-1.37,-7.128
2013-01-01 06:00:00,-1.74,0.33,3.34,-12.74,-5.09,-15.83,-5.98,-7.66,-26.64,-2.22,-7.423
2013-01-01 07:00:00,-2.74,0.15,3.21,-12.33,-4.55,-16.05,-5.6,-7.78,-26.35,-2.88,-7.492
2013-01-01 08:00:00,-3.94,-0.17,3.12,-12.16,-3.85,-16.36,-5.71,-7.82,-26.43,-3.46,-7.677999999999999
2013-01-01 09:00:00,-5.9,-0.46,2.95,-11.8,-3.15,-16.58,-5.45,-7.9,-26.44,-4.03,-7.876
2013-01-01 10:00:00,-7.6,-0.64,2.81,-11.1,-2.55,-16.69,-4.28,-7.72,-26.29,-4.48,-7.854000000000001
2013-01-01 11:00:00,-8.88,-0.92,2.61,-10.36,-2.23,-16.61,-3.95,-7.35,-25.95,-4.87,-7.851000000000001
2013-01-01 12:00:00,-9.88,-1.09,2.43,-9.96,-1.96,-16.42,-3.97,-7.01,-25.28,-5.37,-7.851000000000001
2013-01-01 13:00:00,-10.55,-0.82,2.48,-9.47,-1.31,-15.54,-5.01,-6.55,-24.61,-6.28,-7.766
2013-01-01 14:00:00,-10.89,-0.43,2.45,-8.12,-0.49,-13.41,-6.02,-6.09,-23.22,-7.28,-7.35
2013-01-01 15:00:00,-10.98,-0.05,2.63,-6.58,0.02,-11.23,-6.59,-5.7,-21.8,-7.67,-6.795
2013-01-01 16:00:00,-10.9,0.03,2.83,-5.36,0.3,-9.22,-6.99,-5.34,-19.63,-7.31,-6.159000000000001
2013-01-01 17:00:00,-10.78,0.45,3.24,-4.75,0.21,-7.05,-6.33,-4.83,-17.22,-6.78,-5.384
2013-01-01 18:00:00,-10.7,0.46,3.61,-4.73,-0.24,-5.02,-4.92,-4.64,-14.73,-6.25,-4.715999999999999
2013-01-01 19:00:00,-11.24,0.33,4.08,-4.67,-0.53,-2.52,-4.15,-4.24,-12.53,-6.08,-4.154999999999999
2013-01-01 20:00:00,-11.4,-0.1,4.5,-5.77,-1.2,-1.44,-2.86,-4.32,-11.17,-5.95,-3.971
