Latitude (decimal degrees):	49.220
Longitude (decimal degrees):	-123.055
Elevation (m):	99
Radiation database:	PVGIS-NSRDB


Slope: 36 deg. (optimum)
Azimuth: 10 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20130101:0000,8.99,0.0,20.73,0.45,2.26,2.19,1.72,0.0
20130101:0100,0.0,0.0,0.0,0.0,0.0,1.32,2.21,0.0
20130101:0200,0.0,0.0,0.0,0.0,0.0,1.68,1.72,0.0
20130101:0300,0.0,0.0,0.0,0.0,0.0,1.37,1.59,0.0
20130101:0400,0.0,0.0,0.0,0.0,0.0,0.1,1.86,0.0
20130101:0500,0.0,0.0,0.0,0.0,0.0,0.65,1.24,0.0
20130101:0600,0.0,0.0,0.0,0.0,0.0,0.75,1.1,0.0
20130101:0700,0.0,0.0,0.0,0.0,0.0,0.27,1.38,0.0
20130101:0800,0.0,0.0,0.0,0.0,0.0,0.72,1.03,0.0
20130101:0900,0.0,0.0,0.0,0.0,0.0,1.28,0.83,0.0
20130101:1000,0.0,0.0,0.0,0.0,0.0,0.64,0.83,0.0
20130101:1100,0.0,0.0,0.0,0.0,0.0,-0.76,1.38,0.0
20130101:1200,0.0,0.0,0.0,0.0,0.0,-0.62,1.31,0.0
20130101:1300,0.0,0.0,0.0,0.0,0.0,0.54,0.83,0.0
20130101:1400,0.0,0.0,0.0,0.0,0.0,0.73,0.69,0.0
20130101:1500,0.0,0.0,0.0,0.0,0.0,0.44,0.9,0.0
20130101:1600,0.0,0.0,0.0,0.0,0.0,0.22,1.1,0.0
20130101:1700,167.15,149.05,55.32,1.37,5.69,0.43,1.17,0.0
20130101:1800,86.99,35.21,76.47,1.74,11.71,1.59,0.69,0.0
20130101:1900,132.11,52.95,108.03,2.51,15.83,2.92,0.9,0.0
20130101:2000,136.76,47.01,119.54,2.74,17.69,3.62,0.76,0.0
20130101:2100,255.75,158.76,138.02,3.43,17.1,3.88,0.76,0.0
20130101:2200,113.91,46.43,95.37,2.16,14.12,3.98,0.83,0.0
20130101:2300,29.23,0.0,46.87,1.02,9.04,3.69,0.69,0.0
20130102:0000,1.62,0.0,9.01,0.2,2.39,3.17,0.55,0.0
20130102:0100,0.0,0.0,0.0,0.0,0.0,2.32,1.03,0.0
20130102:0200,0.0,0.0,0.0,0.0,0.0,1.0,1.66,0.0
20130102:0300,0.0,0.0,0.0,0.0,0.0,0.44,1.79,0.0
20130102:0400,0.0,0.0,0.0,0.0,0.0,0.48,1.72,0.0
20130102:0500,0.0,0.0,0.0,0.0,0.0,0.99,1.52,0.0
20130102:0600,0.0,0.0,0.0,0.0,0.0,1.01,1.52,0.0
20130102:0700,0.0,0.0,0.0,0.0,0.0,-0.25,1.72,0.0
20130102:0800,0.0,0.0,0.0,0.0,0.0,0.69,1.52,0.0
20130102:0900,0.0,0.0,0.0,0.0,0.0,0.82,1.45,0.0
20130102:1000,0.0,0.0,0.0,0.0,0.0,1.16,1.31,0.0
20130102:1100,0.0,0.0,0.0,0.0,0.0,1.71,1.17,0.0
