# source https://www.eia.gov/opendata/browser/densified-biomass/sales-and-price-by-region?frequency=monthly&data=average-price;&facets=region;&region=US-TOTAL;&sortColumn=period;&sortDirection=desc;
date,region,average-price,average-price-units
2023-07,US-TOTAL,216.77,USD per ton
2023-06,US-TOTAL,214.89,USD per ton
2023-05,US-TOTAL,230.38,USD per ton
2023-04,US-TOTAL,222.74,USD per ton
2023-03,US-TOTAL,220.66,USD per ton
2023-02,US-TOTAL,215.59,USD per ton
2023-01,US-TOTAL,217.92,USD per ton
2022-12,US-TOTAL,213.72,USD per ton
2022-11,US-TOTAL,209.78,USD per ton
2022-10,US-TOTAL,212.23,USD per ton
2022-09,US-TOTAL,208.31,USD per ton
2022-08,US-TOTAL,199.66,USD per ton
2022-07,US-TOTAL,200.87,USD per ton
2022-06,US-TOTAL,203.48,USD per ton
2022-05,US-TOTAL,205.29,USD per ton
2022-04,US-TOTAL,200.34,USD per ton
2022-03,US-TOTAL,196.95,USD per ton
2022-02,US-TOTAL,201.2,USD per ton
2022-01,US-TOTAL,196.05,USD per ton
2021-12,US-TOTAL,199.53,USD per ton
2021-11,US-TOTAL,196.36,USD per ton
2021-10,US-TOTAL,195.94,USD per ton
2021-09,US-TOTAL,194.31,USD per ton
2021-08,US-TOTAL,192.46,USD per ton
2021-07,US-TOTAL,190.67,USD per ton
2021-06,US-TOTAL,193.67,USD per ton
2021-05,US-TOTAL,191.72,USD per ton
2021-04,US-TOTAL,191.43,USD per ton
2021-03,US-TOTAL,196.32,USD per ton
2021-02,US-TOTAL,194.92,USD per ton
2021-01,US-TOTAL,195.58,USD per ton
2020-12,US-TOTAL,186.69,USD per ton
2020-11,US-TOTAL,186.48,USD per ton
2020-10,US-TOTAL,181.07,USD per ton
2020-09,US-TOTAL,176.18,USD per ton
2020-08,US-TOTAL,174.64,USD per ton
2020-07,US-TOTAL,168.57,USD per ton
2020-06,US-TOTAL,171.48,USD per ton
2020-05,US-TOTAL,169.25,USD per ton
2020-04,US-TOTAL,161.58,USD per ton
2020-03,US-TOTAL,163.4,USD per ton
2020-02,US-TOTAL,169.46,USD per ton
2020-01,US-TOTAL,173.27,USD per ton
2019-12,US-TOTAL,174.24,USD per ton
2019-11,US-TOTAL,172.86,USD per ton
2019-10,US-TOTAL,172.32,USD per ton
2019-09,US-TOTAL,171.67,USD per ton
2019-08,US-TOTAL,168.68,USD per ton
2019-07,US-TOTAL,163.68,USD per ton
2019-06,US-TOTAL,162.91,USD per ton
2019-05,US-TOTAL,161.46,USD per ton
2019-04,US-TOTAL,156.89,USD per ton
2019-03,US-TOTAL,162.09,USD per ton
2019-02,US-TOTAL,165.76,USD per ton
2019-01,US-TOTAL,162.44,USD per ton
2018-12,US-TOTAL,162.98,USD per ton
2018-11,US-TOTAL,160.88,USD per ton
2018-10,US-TOTAL,161.95,USD per ton
2018-09,US-TOTAL,157.56,USD per ton
2018-08,US-TOTAL,155.62,USD per ton
2018-07,US-TOTAL,146.83,USD per ton
2018-06,US-TOTAL,148.47,USD per ton
2018-05,US-TOTAL,141.72,USD per ton
2018-04,US-TOTAL,146.43,USD per ton
2018-03,US-TOTAL,149.22,USD per ton
2018-02,US-TOTAL,151.06,USD per ton
2018-01,US-TOTAL,154.76,USD per ton
2017-12,US-TOTAL,152.22,USD per ton
2017-11,US-TOTAL,152.74,USD per ton
2017-10,US-TOTAL,153.05,USD per ton
2017-09,US-TOTAL,156.45,USD per ton
2017-08,US-TOTAL,149.4,USD per ton
2017-07,US-TOTAL,146.92,USD per ton
2017-06,US-TOTAL,147.77,USD per ton
2017-05,US-TOTAL,142.99,USD per ton
2017-04,US-TOTAL,145.61,USD per ton
2017-03,US-TOTAL,148.71,USD per ton
2017-02,US-TOTAL,154.8,USD per ton
2017-01,US-TOTAL,157.27,USD per ton
2016-12,US-TOTAL,162.15,USD per ton
2016-11,US-TOTAL,158.95,USD per ton
2016-10,US-TOTAL,164.12,USD per ton
2016-09,US-TOTAL,167,USD per ton
2016-08,US-TOTAL,166.08,USD per ton
2016-07,US-TOTAL,160.7,USD per ton
2016-06,US-TOTAL,159.17,USD per ton
2016-05,US-TOTAL,156.97,USD per ton
2016-04,US-TOTAL,156.02,USD per ton
2016-03,US-TOTAL,157.18,USD per ton
2016-02,US-TOTAL,160.49,USD per ton
2016-01,US-TOTAL,162.25,USD per ton
