# source: https://www.ofx.com/en-ca/forex-news/historical-exchange-rates/usd/cad/
date,CAD_per_USD
1990,1.166777
1991,1.146045
1992,1.208519
1993,1.29022
1994,1.366427
1995,1.372511
1996,1.363832
1997,1.384948
1998,1.483612
1999,1.485809
2000,1.48528
2001,1.547925
2002,1.570885
2003,1.39545
2004,1.30073
2005,1.210707
2006,1.13439
2007,1.074387
2008,1.065788
2009,1.141433
2010,1.030533
2011,0.989323
2012,0.999997
2013,1.030084
2014,1.104347
2015,1.279163
2016,1.325521
2017,1.297846
2018,1.296654
2019,1.327074
2020,1.340771
2021,1.253745
2022,1.301232
2023,1.347125
