province,index,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alberta,Total Energy Use (PJ),191.287287,172.229202,189.753525,190.99,190.468961,177.687157,180.631783,210.340116,207.376102,204.978241,195.753867,206.628,205.506,207.430415,207.558334,201.199,177.307592,209.799529,217.519359,217.719789,215.665468
Alberta,Space Heating,129.354293,109.897501,125.597115,126.551963,124.982063,112.281967,115.007472,138.023797,135.825628,135.905538,126.420848,134.482424,133.461557,136.774303,138.350851,129.940512,112.76095,137.751822,147.708121,147.577372,141.827502
Alberta,Water Heating,40.14367,38.519403,39.932431,41.653074,42.48027,42.072077,41.311922,47.400116,46.224165,43.845669,44.290906,46.650604,46.522575,45.102172,43.32056,44.981458,38.811795,46.193291,44.590778,43.718298,45.532896
Alberta,Appliances,16.371148,17.758458,17.94825,16.843408,17.075159,17.365945,17.920086,18.478491,18.738504,18.693969,18.830187,19.217233,19.3385,19.556548,19.841032,20.213999,19.983799,20.007068,19.598546,20.776689,22.089604
Alberta,Lighting,5.357538,5.939873,6.060255,5.767952,5.80938,5.90014,6.029337,6.086117,6.185752,6.21253,6.045702,6.091246,6.006779,5.843092,5.78915,5.733212,5.629053,5.503333,5.306592,5.535231,5.920701
Alberta,Space Cooling,0.060638,0.113968,0.215474,0.173602,0.12209,0.067027,0.362967,0.351595,0.402053,0.320535,0.166225,0.186493,0.176589,0.154301,0.256742,0.329819,0.121994,0.344014,0.315323,0.112199,0.294765
Alberta,Total Floor Space (million m2),141.072,145.057,149.625,154.614,159.514,164.663,170.438,176.645,182.283,186.278,190.627,194.49,200.003,206.5,213.341,220.884,226.119,230.289,234.295,238.414,242.406
Alberta,Total Households (thousands),1103.53,1130.48,1153.56,1175.68,1198.68,1231.35,1280.84,1317.33,1346.58,1381.95,1417.93,1450.051,1459.0,1494.759,1514.0,1534.0,1543.0,1543.0,1570.0,1597.0,1622.848
Alberta,Energy Intensity (GJ/m2),1.355953,1.187321,1.268196,1.235273,1.194059,1.079096,1.059806,1.190749,1.137662,1.100389,1.026895,1.06241,1.027517,1.004505,0.972896,0.91088,0.784132,0.911026,0.9284,0.913199,0.889688
Alberta,Energy Intensity (GJ/household),173.341266,152.350508,164.493849,162.450667,158.898923,144.302722,141.026032,159.671545,154.002066,148.325367,138.056087,142.497057,140.854014,138.771802,137.092691,131.159713,114.910948,135.968586,138.547362,136.330488,132.893168
Alberta,Total GHG Emissions Excluding Electricity (Mt of CO2e),8.357876,7.30749,8.130076,8.257293,8.186204,7.494149,7.549155,8.963196,8.776987,8.639207,8.201715,8.693388,8.629252,8.665411,8.573203,8.245131,7.076006,8.632851,9.000017,8.908639,8.705134
Alberta,GHG Intensity (tonne/TJ),43.692791,42.428865,42.845456,43.234162,42.979202,42.176089,41.793059,42.612869,42.324005,42.146945,41.898101,42.072654,41.990269,41.775026,41.305028,40.979979,39.908083,41.148094,41.375708,40.917913,40.364058
Alberta,Heating Degree-Day Index ,0.975952,0.87578,0.974168,0.944371,0.913148,0.832589,0.875201,0.914952,0.91362,0.973169,0.916728,0.936771,0.916902,0.968313,1.005818,0.894233,0.876753,0.894527,1.000583,1.028756,0.953254
Alberta,Cooling Degree-Day Index ,0.851577,1.191104,2.206249,1.84224,1.061999,0.573082,1.949771,1.929328,1.964857,1.557148,0.804892,0.834983,0.774643,0.65939,1.054688,1.315615,0.473432,1.312498,1.215127,0.401522,0.97643
British Columbia,Total Energy Use (PJ),157.443,154.21,154.201,147.78,148.04,156.65,158.266,158.232,161.638,160.81362,142.829,161.371,155.087605,154.999368,152.272719,144.233632,147.502836,161.477059,153.823334,158.747969,161.429027
British Columbia,Space Heating,90.258801,86.997939,84.921925,77.725958,75.098871,82.521331,84.607824,85.659489,88.719084,86.351995,72.849141,88.208533,82.521969,81.361829,78.024731,72.231161,74.591375,81.217415,79.797651,84.596275,82.826801
British Columbia,Water Heating,35.570002,35.504006,36.363221,36.639874,36.867904,38.861552,38.814738,37.821088,36.724586,37.958663,34.238419,38.285095,37.278136,37.824172,37.447305,37.099641,38.170671,42.285276,38.539488,39.018686,41.794073
British Columbia,Appliances,23.295073,23.340994,24.105015,24.205102,25.767646,25.600701,25.376794,25.494871,26.485382,26.439423,26.387573,26.175693,26.461589,27.153036,27.657474,26.142307,26.627863,28.704213,27.120046,27.308967,28.747246
British Columbia,Lighting,8.165833,8.23919,8.481975,8.655972,9.155971,9.00731,8.792561,8.735971,8.976882,8.838694,8.576845,8.29918,8.078626,8.047821,8.051157,7.437148,7.393134,7.814369,7.191241,6.926072,7.288562
British Columbia,Space Cooling,0.15329,0.127872,0.328864,0.553095,1.149608,0.659105,0.674084,0.52058,0.732066,1.224845,0.777021,0.402499,0.747285,0.61251,1.092052,1.323373,0.719793,1.455787,1.174908,0.897969,0.772344
British Columbia,Total Floor Space (million m2),210.689,213.595,217.055,220.921,225.804,231.066,237.05,243.104,248.624,253.72,258.31,262.563,267.043,271.687,276.1,280.461,284.934,290.092,295.925,301.801,307.723
British Columbia,Total Households (thousands),1550.63,1573.02,1592.88,1615.5,1642.62,1675.85,1675.654,1740.97,1742.667,1811.52,1793.608,1820.129,1840.0,1842.0,1844.0,1867.0,1896.0,1949.0,1983.5,2018.0,2043.35
British Columbia,Energy Intensity (GJ/m2),0.747276,0.721975,0.710423,0.668928,0.655612,0.677945,0.667648,0.650882,0.650131,0.633824,0.552937,0.614599,0.580759,0.570507,0.551512,0.514274,0.517673,0.55664,0.519805,0.526001,0.524591
British Columbia,Energy Intensity (GJ/household),101.53486,98.034354,96.806414,91.476323,90.124314,93.474953,94.450286,90.887264,92.753234,88.772754,79.632227,88.659101,84.286745,84.147317,82.577397,77.254222,77.796855,82.851236,77.551467,78.665991,79.002125
British Columbia,Total GHG Emissions Excluding Electricity (Mt of CO2e),4.778835,4.648903,4.454287,4.178841,4.035468,4.508823,4.588364,4.533122,4.447277,4.419143,3.659871,4.436502,4.104949,4.068126,3.881167,3.784699,3.915517,4.330847,4.08156,4.242026,4.313043
British Columbia,GHG Intensity (tonne/TJ),30.352797,30.146574,28.886242,28.277445,27.259309,28.782786,28.99147,28.648576,27.513812,27.479904,25.624145,27.49256,26.468581,26.246084,25.48826,26.240057,26.545369,26.820199,26.534075,26.721763,26.71789
British Columbia,Heating Degree-Day Index ,0.966477,0.947664,0.948093,0.866999,0.842813,0.888521,0.904755,0.956427,0.997804,0.975135,0.876978,0.990692,0.950535,0.915486,0.873207,0.826007,0.830429,0.826046,0.88554,0.941553,0.866405
British Columbia,Cooling Degree-Day Index ,0.793218,0.671963,1.579731,2.399796,3.536274,1.609767,1.650869,1.394535,1.596571,2.861159,1.738089,0.867725,1.619915,1.250359,2.142975,2.74673,1.449764,2.747308,2.334424,1.768116,1.430857
Manitoba,Total Energy Use (PJ),47.809759,45.130805,46.89147,46.62,47.173114,45.084794,39.879209,48.768595,51.105352,51.060277,48.13,50.948,49.936,56.606,57.898,51.405,51.285,53.475,58.025,57.833,56.604892
Manitoba,Space Heating,28.323867,25.354251,27.111292,26.350578,27.650921,25.028639,21.584314,27.091577,29.687997,29.272294,26.338488,28.258157,26.055964,33.973219,34.855787,28.457743,29.104348,30.324488,34.267684,34.925033,32.312345
Manitoba,Water Heating,9.658897,9.332873,9.223116,9.251098,9.209376,8.868794,7.875861,8.851907,8.92744,8.962889,8.781548,8.997504,10.01509,9.418848,9.272719,9.002265,9.003245,9.319761,9.280655,9.099637,9.387902
Manitoba,Appliances,7.118351,7.237041,7.264756,7.35629,7.611973,7.6708,6.950426,8.833695,8.897558,9.296789,9.091199,9.110299,9.924586,9.747244,9.701098,9.687653,9.439165,9.651667,9.839775,9.828941,10.119953
Manitoba,Lighting,2.007984,2.076445,2.109875,2.192954,2.248425,2.241713,1.999715,2.480229,2.485224,2.565142,2.489686,2.451587,2.5937,2.471745,2.391071,2.321826,2.199351,2.20784,2.199027,2.127881,2.200014
Manitoba,Space Cooling,0.70066,1.130195,1.18243,1.46908,0.452419,1.274847,1.468892,1.511187,1.107133,0.963163,1.429078,2.130454,1.34666,0.994944,1.677324,1.935512,1.538891,1.971244,2.437859,1.851509,2.584678
Manitoba,Total Floor Space (million m2),50.362,51.164,51.978,52.841,53.881,54.924,56.039,57.211,58.442,59.631,60.767,62.07,62.972,64.07,64.997,65.892,67.012,68.141,69.386,70.542,71.722
Manitoba,Total Households (thousands),426.5,429.71,434.06,438.84,443.47,446.61,450.09,455.58,462.55,471.09,465.954,471.246,474.0,479.234,473.0,477.0,484.5,482.0,486.0,490.0,492.011
Manitoba,Energy Intensity (GJ/m2),0.94933,0.882085,0.902139,0.882274,0.875501,0.820857,0.711634,0.852429,0.874466,0.856273,0.792044,0.820819,0.79299,0.883507,0.890774,0.780138,0.765309,0.784773,0.836268,0.819839,0.789232
Manitoba,Energy Intensity (GJ/household),112.09791,105.026192,108.029927,106.234619,106.372728,100.948914,88.602743,107.04727,110.486114,108.387519,103.293458,108.113385,105.350214,118.117654,122.40592,107.767296,105.851393,110.943983,119.393004,118.026531,115.048043
Manitoba,Total GHG Emissions Excluding Electricity (Mt of CO2e),1.374828,1.220663,1.255816,1.214955,1.217439,1.077839,0.921226,1.039808,1.109511,1.062213,0.975259,1.042018,1.029832,1.213435,1.216099,1.027663,1.06473,1.133821,1.232022,1.232307,1.170844
Manitoba,GHG Intensity (tonne/TJ),28.756218,27.047235,26.781321,26.060821,25.807897,23.906925,23.100409,21.321256,21.710266,20.803127,20.263019,20.452578,20.623037,21.436511,21.004163,19.991506,20.761048,21.202822,21.232611,21.308024,20.684508
Manitoba,Heating Degree-Day Index ,0.968023,0.905455,0.988114,0.963988,1.002245,0.927031,0.865662,0.953014,1.01739,0.994142,0.875521,0.909996,0.74488,1.023451,1.04496,0.866675,0.891138,0.866675,0.970387,1.005268,0.892151
Manitoba,Cooling Degree-Day Index ,0.768498,1.183296,1.160874,1.427691,0.402466,1.107623,1.420404,1.130045,0.831839,0.664798,0.971413,1.399103,0.797646,0.599776,0.980942,1.121637,0.915359,1.121637,1.352579,1.022982,1.361547
New Brunswick,Total Energy Use (PJ),31.975595,29.934796,31.523154,31.42,34.262071,34.313545,32.657248,35.246873,35.624732,36.697275,36.514726,40.554315,39.10373,38.023622,41.105219,43.421048,37.690177,34.381361,34.098293,31.377878,30.311425
New Brunswick,Space Heating,20.955407,19.068712,20.288329,20.270871,22.892481,22.547926,20.876547,24.252469,24.667227,25.981221,25.77469,30.069717,28.4119,27.122004,30.351782,33.309676,27.829916,25.02301,23.768545,21.762032,19.96193
New Brunswick,Water Heating,4.828572,4.694208,4.887497,4.765439,4.991306,5.217602,5.166556,4.751737,4.683318,4.491048,4.485401,4.322438,4.325278,4.282838,4.149836,3.878594,3.726735,3.45441,3.763031,3.497339,3.703252
New Brunswick,Appliances,4.831696,4.780138,4.910794,4.909986,4.947089,5.073832,5.147132,4.886512,4.918107,4.891442,4.897408,4.900446,5.0436,5.277367,5.293671,4.98926,4.941245,4.742059,5.290095,4.996284,5.315403
New Brunswick,Lighting,1.329408,1.334556,1.379924,1.407268,1.382928,1.386274,1.363091,1.250823,1.245226,1.224579,1.207092,1.182748,1.185378,1.208115,1.185669,1.09288,1.06007,1.013021,1.10737,1.032891,1.104633
