Year,GEO,Price (ct/kWh),Type of fuel
2005,Alberta,11.956,Electricity
2006,Alberta,14.385,Electricity
2007,Alberta,15.833,Electricity
2008,Alberta,17.802,Electricity
2009,Alberta,14.819,Electricity
2010,Alberta,13.016,Electricity
2011,Alberta,21.651,Electricity
2012,Alberta,16.908,Electricity
2013,Alberta,17.886,Electricity
2014,Alberta,15.465,Electricity
2015,Alberta,14.019,Electricity
2016,Alberta,12.431,Electricity
2017,Alberta,12.333,Electricity
2018,Alberta,17.623,Electricity
2019,Alberta,17.476,Electricity
2020,Alberta,16.937,Electricity
2021,Alberta,21.291,Electricity
2022,Alberta,30.596,Electricity
2023,Alberta,22.83,Electricity
2024,Alberta,22.33,Electricity
2025,Alberta,22.003,Electricity
2026,Alberta,21.826,Electricity
2027,Alberta,21.577,Electricity
2028,Alberta,21.352,Electricity
2029,Alberta,21.211,Electricity
2030,Alberta,21.071,Electricity
2031,Alberta,20.832,Electricity
2032,Alberta,20.825,Electricity
2033,Alberta,20.746,Electricity
2034,Alberta,20.725,Electricity
2035,Alberta,20.846,Electricity
2036,Alberta,20.936,Electricity
2037,Alberta,20.969,Electricity
2038,Alberta,21.036,Electricity
2039,Alberta,21.055,Electricity
2040,Alberta,21.08,Electricity
2041,Alberta,21.044,Electricity
2042,Alberta,21.051,Electricity
2043,Alberta,21.037,Electricity
2044,Alberta,21.051,Electricity
2045,Alberta,21.071,Electricity
2046,Alberta,21.099,Electricity
2047,Alberta,21.121,Electricity
2048,Alberta,21.182,Electricity
2049,Alberta,21.242,Electricity
2050,Alberta,21.34,Electricity
2005,Alberta,5.16,Natural gas
2006,Alberta,4.742,Natural gas
2007,Alberta,4.494,Natural gas
2008,Alberta,4.645,Natural gas
2009,Alberta,3.19,Natural gas
2010,Alberta,3.318,Natural gas
2011,Alberta,3.435,Natural gas
2012,Alberta,2.792,Natural gas
2013,Alberta,2.929,Natural gas
2014,Alberta,3.604,Natural gas
2015,Alberta,1.392,Natural gas
2016,Alberta,2.189,Natural gas
2017,Alberta,2.581,Natural gas
2018,Alberta,2.551,Natural gas
2019,Alberta,2.607,Natural gas
2020,Alberta,2.502,Natural gas
2021,Alberta,2.865,Natural gas
2022,Alberta,4.701,Natural gas
2023,Alberta,3.428,Natural gas
2024,Alberta,3.892,Natural gas
2025,Alberta,4.187,Natural gas
2026,Alberta,4.304,Natural gas
2027,Alberta,4.435,Natural gas
2028,Alberta,4.57,Natural gas
2029,Alberta,4.723,Natural gas
2030,Alberta,4.865,Natural gas
2031,Alberta,5.379,Natural gas
2032,Alberta,5.76,Natural gas
2033,Alberta,6.166,Natural gas
2034,Alberta,6.543,Natural gas
2035,Alberta,6.895,Natural gas
2036,Alberta,7.262,Natural gas
2037,Alberta,7.547,Natural gas
2038,Alberta,7.892,Natural gas
2039,Alberta,8.16,Natural gas
2040,Alberta,8.399,Natural gas
2041,Alberta,8.654,Natural gas
2042,Alberta,8.878,Natural gas
2043,Alberta,9.084,Natural gas
2044,Alberta,9.37,Natural gas
2045,Alberta,9.555,Natural gas
2046,Alberta,9.823,Natural gas
2047,Alberta,10.091,Natural gas
2048,Alberta,10.351,Natural gas
2049,Alberta,10.582,Natural gas
2050,Alberta,10.785,Natural gas
2005,Alberta,9.723,Heating oil
2006,Alberta,10.288,Heating oil
2007,Alberta,11.012,Heating oil
2008,Alberta,13.452,Heating oil
2009,Alberta,9.594,Heating oil
2010,Alberta,10.84,Heating oil
2011,Alberta,11.706,Heating oil
2012,Alberta,12.477,Heating oil
2013,Alberta,11.508,Heating oil
2014,Alberta,13.859,Heating oil
2015,Alberta,10.253,Heating oil
2016,Alberta,9.317,Heating oil
2017,Alberta,10.726,Heating oil
2018,Alberta,12.6,Heating oil
2019,Alberta,12.174,Heating oil
2020,Alberta,9.431,Heating oil
2021,Alberta,11.485,Heating oil
2022,Alberta,14.608,Heating oil
2023,Alberta,13.72,Heating oil
2024,Alberta,13.411,Heating oil
2025,Alberta,13.174,Heating oil
2026,Alberta,12.866,Heating oil
2027,Alberta,12.568,Heating oil
2028,Alberta,12.27,Heating oil
2029,Alberta,12.005,Heating oil
2030,Alberta,11.698,Heating oil
2031,Alberta,12.297,Heating oil
2032,Alberta,12.706,Heating oil
2033,Alberta,13.139,Heating oil
2034,Alberta,13.507,Heating oil
2035,Alberta,13.823,Heating oil
2036,Alberta,14.132,Heating oil
2037,Alberta,14.398,Heating oil
2038,Alberta,14.632,Heating oil
2039,Alberta,14.834,Heating oil
2040,Alberta,14.977,Heating oil
2041,Alberta,15.118,Heating oil
2042,Alberta,15.216,Heating oil
2043,Alberta,15.271,Heating oil
2044,Alberta,15.281,Heating oil
2045,Alberta,15.255,Heating oil
2046,Alberta,15.174,Heating oil
2047,Alberta,15.062,Heating oil
2048,Alberta,14.908,Heating oil
2049,Alberta,14.695,Heating oil
2050,Alberta,14.423,Heating oil
2005,British Columbia,8.842,Electricity
2006,British Columbia,9.305,Electricity
2007,British Columbia,9.355,Electricity
2008,British Columbia,9.519,Electricity
2009,British Columbia,9.713,Electricity
2010,British Columbia,10.786,Electricity
2011,British Columbia,10.727,Electricity
2012,British Columbia,12.06,Electricity
2013,British Columbia,11.504,Electricity
2014,British Columbia,12.072,Electricity
2015,British Columbia,12.658,Electricity
2016,British Columbia,13.04,Electricity
2017,British Columbia,13.357,Electricity
2018,British Columbia,13.547,Electricity
2019,British Columbia,13.555,Electricity
2020,British Columbia,13.542,Electricity
2021,British Columbia,14.236,Electricity
2022,British Columbia,14.47,Electricity
2023,British Columbia,14.575,Electricity
2024,British Columbia,14.394,Electricity
2025,British Columbia,14.551,Electricity
2026,British Columbia,14.681,Electricity
2027,British Columbia,14.745,Electricity
2028,British Columbia,14.802,Electricity
2029,British Columbia,14.859,Electricity
2030,British Columbia,14.891,Electricity
2031,British Columbia,14.912,Electricity
2032,British Columbia,15.057,Electricity
2033,British Columbia,15.178,Electricity
2034,British Columbia,15.276,Electricity
2035,British Columbia,15.355,Electricity
2036,British Columbia,15.487,Electricity
2037,British Columbia,15.582,Electricity
2038,British Columbia,15.681,Electricity
2039,British Columbia,15.762,Electricity
2040,British Columbia,15.851,Electricity
2041,British Columbia,15.908,Electricity
2042,British Columbia,15.987,Electricity
2043,British Columbia,16.069,Electricity
2044,British Columbia,16.172,Electricity
2045,British Columbia,16.284,Electricity
2046,British Columbia,16.331,Electricity
2047,British Columbia,16.384,Electricity
2048,British Columbia,16.466,Electricity
2049,British Columbia,16.551,Electricity
2050,British Columbia,16.654,Electricity
2005,British Columbia,6.249,Natural gas
2006,British Columbia,6.495,Natural gas
2007,British Columbia,6.546,Natural gas
2008,British Columbia,6.872,Natural gas
2009,British Columbia,6.967,Natural gas
2010,British Columbia,7.21,Natural gas
2011,British Columbia,7.119,Natural gas
2012,British Columbia,6.719,Natural gas
2013,British Columbia,6.318,Natural gas
2014,British Columbia,6.693,Natural gas
2015,British Columbia,6.25,Natural gas
2016,British Columbia,4.656,Natural gas
2017,British Columbia,4.652,Natural gas
2018,British Columbia,4.534,Natural gas
2019,British Columbia,4.766,Natural gas
2020,British Columbia,4.812,Natural gas
2021,British Columbia,5.318,Natural gas
2022,British Columbia,6.92,Natural gas
2023,British Columbia,5.585,Natural gas
2024,British Columbia,6.048,Natural gas
2025,British Columbia,6.323,Natural gas
2026,British Columbia,6.39,Natural gas
2027,British Columbia,6.456,Natural gas
2028,British Columbia,6.5,Natural gas
2029,British Columbia,6.549,Natural gas
2030,British Columbia,6.556,Natural gas
2031,British Columbia,6.912,Natural gas
2032,British Columbia,7.254,Natural gas
2033,British Columbia,7.623,Natural gas
2034,British Columbia,7.967,Natural gas
2035,British Columbia,8.291,Natural gas
2036,British Columbia,8.63,Natural gas
2037,British Columbia,8.956,Natural gas
2038,British Columbia,9.283,Natural gas
2039,British Columbia,9.608,Natural gas
2040,British Columbia,9.916,Natural gas
2041,British Columbia,10.247,Natural gas
2042,British Columbia,10.574,Natural gas
2043,British Columbia,10.896,Natural gas
2044,British Columbia,11.12,Natural gas
2045,British Columbia,11.438,Natural gas
2046,British Columbia,11.642,Natural gas
2047,British Columbia,11.951,Natural gas
2048,British Columbia,12.147,Natural gas
2049,British Columbia,12.312,Natural gas
2050,British Columbia,12.445,Natural gas
2005,British Columbia,11.402,Heating oil
2006,British Columbia,11.39,Heating oil
2007,British Columbia,11.786,Heating oil
2008,British Columbia,14.679,Heating oil
2009,British Columbia,10.784,Heating oil
2010,British Columbia,12.752,Heating oil
2011,British Columbia,14.877,Heating oil
2012,British Columbia,15.48,Heating oil
2013,British Columbia,15.412,Heating oil
