,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
0,11614,10721,4587.538814095636,2014,1616.78271484375,1442.09,16046,216.19163582297026,26892,3681
1,11512,11154,4591.016003226687,1953,1580.0497436523438,1379.25,15529,207.3858444164849,25672,3655
2,11328,10990,4544.073949957503,1892,1538.0932006835938,1321.85,15112,197.56285944723234,24991,3598
3,11279,10727,4429.3267086328315,1846,1484.5965881347656,1313.84,14596,188.96346272913922,24210,3538
4,11181,10464,4253.728657514772,1759,1438.2846374511719,1369.58,14070,183.4360424175088,23518,3475
5,11046,10152,4199.832225983486,1710,1390.7289733886719,1346.53,14112,178.6760575719631,23703,3419
6,10902,9779,3179.277216020112,1725,1363.7899169921875,1313.91,13504,175.03602838678816,23626,2910
7,9655,9529,3029.758083384934,1725,1360.328369140625,1297.92,13155,173.08159746732042,23610,2842
8,9513,7171,2890.670518142906,1737,1384.0210266113281,1303.7,12892,173.97348452880044,23420,2852
9,9437,6957,2902.840680101584,1767,1420.6008911132812,1320.31,12798,178.5823533805665,23837,2783
10,9376,6831,2805.479384432165,1821,1471.2045593261719,1321.85,12891,182.29725497799546,24903,2814
11,9356,6806,2883.7161398808057,1905,1506.9461364746094,1363.14,13188,187.59678745286698,25615,2830
12,9403,6851,2970.645868157072,1982,1568.7909240722656,1407.65,13570,196.190626929951,25864,2871
13,9503,6979,3074.9615420885925,2040,1623.1787109375,1439.43,13820,203.08334059789004,25774,2894
14,9627,7202,3125.380784488827,2045,1651.4293518066406,1457.03,14249,204.43818885868447,25364,2936
15,9775,7472,3207.094729068518,2019,1657.1590270996094,1457.94,14514,204.1883279214734,24976,3001
16,9867,7741,3320.103375827665,1994,1651.3351440429688,1444.32,14895,200.9700555532795,24644,3060
17,9992,7967,3426.1576443247113,1946,1682.3348693847656,1403.83,14959,195.8101084518305,24352,3067
18,10127,8183,3384.431374752103,1890,1690.2482299804688,1373.52,15117,192.86092871276867,24519,3052
19,10167,8296,3351.3980780071215,1853,1723.4800109863281,1391.24,15391,195.7141091803044,24503,3020
20,10147,8328,3304.4560247379377,1882,1794.6913146972656,1493.86,15928,213.64666890229608,25239,2979
21,10132,8312,3254.0367823377023,2001,1797.1898498535156,1602.48,16544,230.0984782120601,26745,3011
22,10219,8300,3304.4560247379377,2101,1770.4912719726562,1583.62,17120,226.50931370564746,27140,3085
23,10512,8387,3417.464671497084,2086,1761.1820678710938,1559.48,16774,225.0491116485273,26860,3208
24,10787,8752,3624.3574247946,2076,1751.802490234375,1528.02,16385,219.83190999733728,25865,3189
25,10679,8904,3586.108344353041,2061,1745.1134338378906,1480.59,16206,213.15812209580326,25549,3154
26,10428,8688,3514.825967166503,2019,1694.9294128417969,1422.67,15888,201.32066751572592,24850,3096
27,10295,8408,3380.9541856210517,1966,1608.2811889648438,1381.07,15269,191.24044767325248,24140,3071
